x_1,x_2,Label
345,342,1
553,175,1
507,155,1
355,413,1
465,329,1
271,356,1
392,369,1
395,357,1
444,205,1
279,355,1
342,287,1
376,383,1
427,255,1
271,328,1
442,358,1
280,389,1
458,323,1
452,299,1
260,333,1
518,199,1
383,322,1
357,307,1
550,232,1
497,229,1
557,280,1
300,397,1
471,269,1
596,151,1
532,168,1
320,291,1
566,206,1
417,390,1
427,243,1
377,391,1
320,340,1
312,325,1
277,354,1
488,219,1
263,412,1
434,280,1
411,340,1
371,402,1
335,295,1
377,265,1
352,410,1
478,254,1
308,308,1
346,424,1
371,285,1
259,411,1
447,287,1
378,354,1
453,200,1
258,388,1
564,118,1
276,341,1
516,275,1
322,369,1
538,169,1
347,395,1
532,193,1
514,183,1
276,357,1
563,219,1
533,155,1
575,185,1
483,210,1
317,421,1
547,246,1
290,387,1
548,232,1
384,378,1
357,430,1
518,191,1
316,321,1
264,379,1
380,361,1
441,202,1
263,394,1
414,394,1
448,240,1
514,151,1
342,336,1
425,311,1
530,292,1
388,297,1
597,154,1
500,309,1
495,272,1
583,191,1
509,309,1
509,285,1
299,342,1
428,405,1
240,375,1
499,327,1
464,268,1
389,342,1
503,324,1
298,382,1
350,77,2
71,235,2
176,100,2
176,142,2
147,94,2
216,110,2
270,85,2
137,175,2
89,114,2
209,145,2
192,110,2
151,142,2
71,230,2
60,203,2
217,110,2
221,80,2
114,109,2
66,153,2
78,231,2
148,165,2
140,195,2
243,108,2
120,148,2
96,171,2
135,132,2
99,152,2
177,162,2
153,122,2
94,225,2
67,129,2
363,62,2
84,238,2
118,197,2
215,153,2
112,232,2
216,86,2
332,53,2
274,64,2
33,208,2
379,56,2
163,98,2
61,189,2
82,143,2
221,118,2
137,133,2
363,81,2
111,237,2
272,105,2
426,72,2
136,138,2
233,91,2
313,78,2
291,68,2
60,173,2
119,106,2
74,180,2
299,55,2
158,180,2
379,43,2
93,179,2
206,98,2
208,159,2
247,135,2
345,78,2
42,173,2
71,178,2
34,186,2
124,181,2
225,156,2
296,65,2
273,115,2
215,105,2
120,192,2
124,175,2
295,103,2
234,151,2
320,84,2
129,99,2
151,162,2
169,161,2
227,77,2
259,125,2
435,70,2
232,107,2
351,71,2
120,150,2
125,205,2
157,207,2
63,168,2
370,67,2
258,118,2
303,64,2
202,161,2
126,226,2
396,67,2
160,199,2
90,191,2
226,89,2
59,264,2
324,47,2
